弹幕,重复次数
见证历史,45842.0
保护海洋,13067.0
支持,7161.0
6,5121.0
保护海洋！,5080.0
注意安全,3519.0
保护,3396.0
保护海洋！保护地球！,3344.0
保护地球！保护海洋！,3224.0
辐岛,2552.0
保护海洋！！！,2242.0
保护地球,2216.0
保护海洋！保护生态！保护地球！,1860.0
支持！,1662.0
赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,1632.0
666,1468.0
放射性核素可能多达千余种，有的目前无检测手段！,1440.0
保护地球保护海洋,1424.0
众所周知，日本发明了最先进的核污染水处理技术，世界应该向日本学习,1411.0
看完了,1332.0
上热门,1296.0
——放射性核素可能多达千余种，有的目前无检测手段！,1292.0
1,1271.0
使徒来袭,1201.0
逆天,1187.0
支持支持,1182.0
保护海洋，保护地球,1157.0
甲级战犯,1138.0
？,1130.0
韩国,1110.0
见证历史！,1067.0
反对排放,1066.0
保护地球！,1056.0
保护海洋！！,972.0
——核污染水排海=大灭绝开启！,972.0
保护海洋！！！保护地球！！！,960.0
唉,957.0
呵呵,887.0
卧槽,883.0
核污染水排海——赤裸裸的荼毒涂炭、毁灭灭绝！,864.0
注意安全！,853.0
保护海洋，保护地球！,832.0
《负责》,830.0
啊？,819.0
哈哈哈,804.0
保护海洋！保护海洋！保护海洋！,795.0
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,790.0
上热门！,784.0
有,777.0
《辐岛》,752.0
《承诺》,711.0
甲 级 战 犯,699.0
注意安全啊,691.0
加油,685.0
好好好,683.0
世界可以没有日本，但不能没有海洋,673.0
海纳百氚,672.0
保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！,662.0
哎,658.0
出院！,650.0
躬匠精神,650.0
说得好,644.0
好,643.0
保护地球，保护海洋,631.0
战地记者,621.0
保护海洋，保护地球！！！,613.0
笑死,595.0
保护海洋！！！！,585.0
保护海洋！抵制日本！,576.0
保护海洋！保护海洋！保护海洋！保护海洋！,576.0
保护海洋！！保护地球！！,562.0
保护海洋!,555.0
畜牲,554.0
保护地球！！！保护海洋！！！保护地球！！！保护海洋！！,544.0
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习。,539.0
保护大海,530.0
红豆泥私密马赛,529.0
罪人,517.0
保护海洋！！！！！,510.0
支持支持支持,508.0
哈哈哈哈,499.0
保护海洋保护地球,493.0
核污染水中含上百种放射性核素！,490.0
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,487.0
说的好,482.0
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,478.0
（欢迎转发）此刻，真的愿意直接就这样划走吗？“如果地球上连一滴干净的水，一口干净的空气都没有，你挣再多的钱也是死路一条。”——《美人鱼》“起初，没有人在意这一场灾难，这不过是一场山火、一次,477.0
坚决抵制日本核污水排放,468.0
上热门！！！,466.0
核污水的基因变异具有遗传性，一次变异后代都携带此变异基因，彻底改变物种基因,460.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,453.0
岸田、东电向全人类、向海陆空生灵宣战！,450.0
明白人,441.0
日本人自己承受！别拉上全人类！,440.0
百氚东倒海,438.0
保护海洋！保护地球！保护海洋！保护地球！,438.0
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,438.0
全世界,437.0
抵制日本,420.0
私密马赛,419.0
海洋是另外一个世界，是数以万计生物的家园！坚决保护海洋生态！坚决保护地球家园！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！海,412.0
一言为定,410.0
啊,408.0
完了,406.0
顶,402.0
《划算》,400.0
畜生,398.0
保护地球！！！保护海洋！！！,395.0
核污水：使动物患疾病，   寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,393.0
EVA,392.0
EVAの小曲,390.0
坚决抵制,382.0
必须支持,380.0
见证历史，铭记历史,380.0
世界可以没有日本，但不能没有海洋！,372.0
全球,362.0
离谱,362.0
？？？,360.0
保护海洋！！！保护海洋！！！保护海洋！！！,356.0
不许污染大海！,350.0
保护！！！,348.0
确实,342.0
狼狈为奸,342.0
？？,340.0
废柴日本,338.0
已经排了,334.0
《良知》,333.0
  众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,333.0
苏联切尔洛贝利的处理方法,333.0
掩耳盗铃,332.0
坚决抵制日本核污水排海！！！保护海洋！！！,329.0
世界可以没有日本，但不能没有海洋!,328.0
见证历史了,327.0
——赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,324.0
出生日本,323.0
该,322.0
《海纳百氚》,322.0
人类补完计划,321.0
哈哈哈哈哈哈,321.0
牛逼,320.0
反人类罪,320.0
多少？,317.0
《绝不》,316.0
《可以饮用》,316.0
《最终没喝》,316.0
保护海洋，人人有责！！！,312.0
日本没了可以，但是还我太平洋！,312.0
哥斯拉,310.0
强烈支持,310.0
乌贼娘,310.0
？？？？？？？,309.0
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,306.0
？？？？,302.0
都是老年人,301.0
我想让你回答问题,300.0
如果,300.0
赞同,300.0
好狗,300.0
勇士,300.0
我们对100万欧元有信心,300.0
……,296.0
。,295.0
保护地球，保护海洋！,292.0
注意安全！！！,291.0
好！,290.0
。。。,290.0
坚决抵制核污水排放,290.0
最喜欢的一集,290.0
讽刺,290.0
坚决抵制排放核污水！！！,288.0
【希望大家看完这个认真科普日本排放核污水的视频-哔哩哔哩】 https://b23.tv/jSlDGTA,286.0
《科学》,282.0
狗东西,280.0
漂亮,280.0
地球可以没有日本，但不能没有海洋,280.0
