弹幕,重复次数
见证历史,12710.0
保护海洋,6370.0
支持,2644.0
6,2053.0
保护海洋！,2010.0
保护海洋！保护地球！,1682.0
保护地球！保护海洋！,1369.0
保护海洋！！！,1087.0
注意安全,1067.0
保护地球,1032.0
上热门,1010.0
保护地球保护海洋,970.0
辐岛,826.0
上热门！,784.0
保护海洋，保护地球,659.0
保护海洋！！,633.0
使徒来袭,624.0
保护地球！,610.0
甲级战犯,579.0
逆天,561.0
支持！,553.0
支持支持,532.0
坚决抵制日本排放核污水,496.0
坚决抵制日本排放核污染水,491.0
保护海洋！！！保护地球！！！,488.0
坚决抵制日本排放核污染水！,469.0
反对排放,464.0
保护海洋！保护海洋！保护海洋！,452.0
《负责》,448.0
坚决抵制日本核污水排放,425.0
保护海洋!,417.0
666,397.0
啊？,390.0
《承诺》,387.0
众所周知，日本发明了最先进的核污染水处理技术，世界应该向日本学习,367.0
？,366.0
世界可以没有日本，但不能没有海洋,362.0
见证历史！,353.0
保护地球，保护海洋,344.0
坚决抵制日本核污水排海！！！保护海洋！！！,342.0
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,337.0
放射性核素可能多达千余种，有的目前无检测手段！,325.0
《辐岛》,325.0
看完了,324.0
赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,324.0
坚决抵制日本排放核污染水！！！,317.0
畜牲,304.0
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,303.0
1,302.0
上热门！！！,300.0
——放射性核素可能多达千余种，有的目前无检测手段！,295.0
保护海洋，保护地球！,295.0
呵呵,285.0
保护海洋，保护地球！！！,283.0
保护海洋！抵制日本！,279.0
保护海洋保护地球,271.0
罪人,268.0
卧槽,267.0
哎,262.0
唉,262.0
保护海洋！！！！,256.0
海纳百氚,251.0
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,239.0
——核污染水中的放射性核素可能多达千余种，有的无检测手段！,238.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,238.0
躬匠精神,238.0
坚决抵制,230.0
世界可以没有日本，但不能没有海洋！,217.0
注意安全！,217.0
保护地球！！！保护海洋！！！保护地球！！！保护海洋！！,216.0
畜生,215.0
坚决抵制日本排放核污水！,215.0
保护海洋！保护海洋！保护海洋！保护海洋！,210.0
支持支持支持,210.0
EVA,209.0
说得好,208.0
EVAの小曲,205.0
全世界,204.0
海洋是另外一个世界，是数以万计生物的家园！坚决保护海洋生态！坚决保护地球家园！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！海,196.0
坚决抵制核污水排放,194.0
坚决抵制日本核污水排海,194.0
保护海洋！！保护地球！！,193.0
保护地球，保护环境，保护海洋,192.0
坚决抵制日本排放核污水！保护地球！,192.0
《辐核》,192.0
加热度加热度加热度加热度加热度加热度加热度,192.0
看看水颜色比第一天排水的时候黑多少啊,192.0
坚决抵制日本排放核污水！！！,190.0
保护海洋！保护地球！保护海洋！保护地球！,189.0
有,189.0
百氚东倒海,189.0
保护海洋！！！！！,188.0
保护海洋！！！保护海洋！！！保护海洋！！！,188.0
好,183.0
快上热门,180.0
注意安全啊,180.0
全球,180.0
——核污染水排海=大灭绝开启！,180.0
狼狈为奸,176.0
坚决抵制！,176.0
保护海洋，人人有责！！！,175.0
见证历史了,173.0
《可以饮用》,172.0
《绝不》,172.0
《最终没喝》,172.0
坚决抵制日本核污染水排放,168.0
战地记者,168.0
团结起来，全球人应该全面禁止抵制日本所有物品,166.0
保护,164.0
日本没了可以，但是还我太平洋！,164.0
（欢迎转发）此刻，真的愿意直接就这样划走吗？“如果地球上连一滴干净的水，一口干净的空气都没有，你挣再多的钱也是死路一条。”——《美人鱼》“起初，没有人在意这一场灾难，这不过是一场山火、一次,161.0
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习。,161.0
核污染水中含上百种放射性核素！,161.0
核污染水排海——赤裸裸的荼毒涂炭、毁灭灭绝！,160.0
坚决抵制日本排放核污水！！,160.0
地球可以没有日本，但不能没有海洋,156.0
见证历史，铭记历史,156.0
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,154.0
保护地球保护海洋！！！,152.0
人类补完计划,152.0
《甲级战犯》,151.0
坚决抵制日本核污水排海！！！,151.0
保护地球！！！保护海洋！！！,150.0
已经排了,149.0
抵制日本,147.0
哈哈哈,145.0
笑死,145.0
《safe》,144.0
挥向地球的刀刃，总有一天刺回到人类本身的！,144.0
一言为定,144.0
世界可以没有日本，但不能没有海洋！！！！,144.0
啊,144.0
↓甲级战犯↓,144.0
岸田、东电向全人类、向海陆空生灵宣战！,144.0
必须支持,139.0
《海纳百氚》,139.0
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,139.0
核污水：使动物患疾病，   寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,137.0
我们联合！,136.0
畜生啊,134.0
保护地球，保护海洋！,133.0
坚决抵制核污水排海,132.0
保护海洋 保护地球,132.0
父慈子孝,131.0
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,130.0
水是剧毒的(确信),129.0
全人类的罪人,129.0
马扁,129.0
使  徒  照  片,129.0
《划算》,128.0
【希望大家看完这个认真科普日本排放核污水的视频-哔哩哔哩】 https://b23.tv/jSlDGTA,128.0
顶,127.0
保护地球！！！,126.0
多少？,125.0
保护海洋，人人有责,125.0
第三次冲击,125.0
见证,123.0
夺少？,123.0
哥斯拉,123.0
保护大海,123.0
保护地球，还我海洋！！我要蔚蓝的大海！！健康的地球！！！这个世界不缺一个岛国！！我只想要大海！！！不想让大海的蔚蓝成为历史！！！！！！！！,122.0
上热门！！！！,122.0
海洋是世界的！,120.0
？？？？,119.0
抵制日本产品,119.0
甲 级 战 犯,119.0
世界可以没有日本，但不能没有大海,118.0
啊啊啊,116.0
保护海洋保护海洋保护海洋,114.0
反人类罪,113.0
完了,112.0
好好好,112.0
不许污染大海！,112.0
负责,112.0
坚决抵制日本排放核污水！！！！,112.0
坚决保护海洋生态！坚决保护地球家园！,112.0
强烈支持,112.0
最喜欢的一集,112.0
守护海洋，保护海洋生物，守卫我们共同的家园，地球！,111.0
加油,111.0
再见，大海,110.0
？？？？？？？,110.0
见证历史。,110.0
说的好,109.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,108.0
核污水的基因变异具有遗传性，一次变异后代都携带此变异基因，彻底改变物种基因,108.0
东风快递，使命必达,107.0
打倒日本帝国主义,107.0
保护地球保护海洋！！,107.0
保护地球保护海洋！,107.0
世界可以没有日本，但是不能没有海洋！,106.0
坚决抵制核污水排海！！,104.0
掩耳盗铃,104.0
反对,103.0
保护海洋，保护地球，保护健康！！！,102.0
水是剧毒的,102.0
核污染水中的放射性核素可能多达千余种，有的无检测手段！,102.0
保护地球！！！！,102.0
寄,101.0
保护地球，保护海洋，保护我们的下一代。,101.0
红豆泥私密马赛,99.0
哈哈哈哈哈哈,98.0
哥斯拉要来了,98.0
唉！,98.0
BGM好评,98.0
人类历史上一座崭新的斐济杯,98.0
坚决抵制日本核污水排海！！保护海洋！！,97.0
保护海洋保护海洋保护海洋保护海洋,97.0
坚决抵制！！！,97.0
《满意》,96.0
比基尼群岛,96.0
《氚流不息》,96.0
保护海洋，保护地球!,96.0
赞同,96.0
别放弃，坚持住,96.0
还我们蔚蓝的大海,96.0
辐核,96.0
支持开联合舰队过去,96.0
日本罪人！,96.0
讽刺,96.0
坚决抵制排放核污水！,96.0
嘴炮,96.0
《很满意》,96.0
保护地球，守护最后的海洋！,96.0
……,96.0
《百氚东倒海，核时复西归》,96.0
保护地球!!!保护海洋!!!,92.0
加流量加流量加流量加流量加流量加流量加流量加流量加,92.0
。,91.0
日本人向全球投放生化武器,91.0
世界可以没有日本和霉国，不能没有蓝色海洋,91.0
保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！,91.0
确实,91.0
坚决抵制日本核污水排海！,91.0
？？,91.0
支持！！！,91.0
应该全面禁止日本所有产品，不然他们会通过别的地方重新包装出售,91.0
eva字体,90.0
我们联合！！,90.0
上热门！！,90.0
世界可以没有日本，但不可以没有海洋,90.0
WeChat,90.0
保护地球！保护海洋！保护人类！,90.0
怎么办,90.0
tui,89.0
保护海洋！人人有责！,89.0
保护全球海洋生态环境！,88.0
反人类,88.0
只有一个地球！保护好我们唯一的家园！,88.0
bgm好评,87.0
哈哈哈哈,87.0
保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！,87.0
保护海洋！救救地球！,86.0
出生日本,86.0
见证牛魔,86.0
猜到了,86.0
保佑海洋一切安好,86.0
《新世纪辐音战士》,86.0
离谱,86.0
贱！,86.0
eva,86.0
来骗，来偷袭！,86.0
氚流不息,86.0
小日子滚出地球,86.0
EVA即視感,86.0
崇高的进化之神，请保佑我进化吧（虔诚）！ ,86.0
《承诺》《绝不》,86.0
《我爱吃的日料》,86.0
311,86.0
《泄露》,86.0
《泄漏》,86.0
Eva,86.0
我以为是“假”,86.0
yue,86.0
勇士,85.0
保护海洋生态环境,85.0
注意安全！！,85.0
解决办法：联合国驻军福岛，,84.0
消灭日本,84.0
《人类补完计划》,84.0
使徒,84.0
梦幻联动,84.0
强烈的辐射,82.0
地球之癌,82.0
盖亚,82.0
主线任务：活到18,82.0
为什么不能挖个洞给埋了，非要排海里啊[辣眼睛],82.0
多行不义必自毙！,82.0
拒绝核污水排放！,82.0
公知呢，出来洗地啦！！！,82.0
《良知》,81.0
人类清除计划,81.0
  众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,81.0
苏联切尔洛贝利的处理方法,81.0
？？？,81.0
